stock_code,基金代码,基金名称,持股数(股),占总股本比例
605589,14691,中加量化研选混合A,1.53万,0.00%
600729,161005,富国天惠成长混合（LOF）A/B,1990.95万,4.90%
600729,880,富国研究精选灵活配置混合A,155.55万,0.38%
600729,8905,嘉合锦鹏添利混合A,80.00万,0.20%
600729,162210,宏利集利债券A,28.75万,0.07%
600729,8666,国泰鑫利一年持有期混合A,15.40万,0.04%
600729,562530,华夏中证智选1000价值稳健策略ETF,2.03万,0.01%
600729,2745,北信瑞丰丰利,1200,0.00%
688390,588000,华夏上证科创板50成份ETF,307.05万,2.49%
688390,4997,广发高端制造股票A,258.03万,2.09%
688390,2132,广发鑫享混合A,183.03万,1.49%
688390,588080,易方达上证科创板50ETF,117.00万,0.95%
688390,14725,广发成长动力三年持有期混合A,98.86万,0.80%
688390,2296,长城行业轮动混合A,59.59万,0.48%
688390,1811,中欧明睿新常态混合A,50.01万,0.41%
688390,5802,汇添富智能制造股票A,49.98万,0.41%
688390,11479,广发诚享混合A,49.04万,0.40%
688390,470021,汇添富优选回报混合A,48.00万,0.39%
2962,14232,博时专精特新主题混合A,47.16万,0.16%
2962,159743,博时湖北新旧动能转换ETF,25.42万,0.09%
2962,159939,广发中证全指信息技术ETF,9.38万,0.03%
2962,620007,金元顺安优质精选灵活配置混合A类,5.32万,0.02%
2962,6195,国金量化多因子A,2.37万,0.01%
2962,4477,嘉实沪港深回报混合,2299,0.00%
2962,942,广发信息技术联接A,300,0.00%
688519,519700,交银主题优选混合A,157.33万,0.67%
688519,1672,国寿安保智慧生活股票,128.14万,0.55%
688519,4818,国寿安保目标策略混合发起A,59.00万,0.25%
688590,159939,广发中证全指信息技术ETF,7.67万,0.03%
688590,5188,海富通量化前锋股票C,2.24万,0.01%
688590,5080,海富通量化多因子混合C,1.10万,0.00%
688590,168701,合煦智远金融科技指数(LOF)A,8875,0.00%
688590,1476,中银智能制造股票A,5422,0.00%
688590,3053,嘉实文体娱乐股票A,5422,0.00%
688590,2560,诺安和鑫混合,5422,0.00%
688590,470098,汇添富逆向投资混合A,5422,0.00%
688590,2620,中邮未来新蓝筹灵活配置混合,4171,0.00%
688590,590003,中邮核心优势灵活配置混合,4171,0.00%
603228,1955,中欧养老混合A,1761.41万,2.08%
603228,10429,中欧睿见混合A,995.41万,1.17%
603228,1678,英大国企改革,858.66万,1.01%
603228,9264,泓德瑞兴三年持有期混合,684.29万,0.81%
603228,11710,中欧睿泽混合A,542.74万,0.64%
603228,166027,中欧创业板两年混合A,532.06万,0.63%
603228,4616,中欧电子信息产业沪港深股票A,505.51万,0.60%
603228,3501,宏利睿智稳健混合A,393.61万,0.46%
603228,3713,英大睿盛A,235.59万,0.28%
603228,162204,宏利行业精选混合A,199.85万,0.24%
600268,160135,南方中证高铁产业指数（LOF）,13.53万,0.02%
600268,515580,华泰柏瑞中证科技100ETF,8.73万,0.01%
600268,5855,中科沃土沃瑞混合发起A,6.50万,0.01%
600268,160639,鹏华中证高铁产业指数(LOF)A,6.01万,0.01%
600268,970041,国海量化优选一年持有股票A,4.15万,0.01%
600268,517960,摩根中证沪港深科技100ETF,2.56万,0.00%
600268,517360,华安中证沪港深科技100ETF,9400,0.00%
600268,159853,南方中证科技100ETF,3700,0.00%
688661,1511,兴全新视野定期开放混合型发起式,171.91万,1.91%
688661,163415,兴全商业模式混合（LOF）,155.53万,1.73%
688661,404,易方达新兴成长混合,74.72万,0.83%
688661,10391,易方达战略新兴产业股票A,73.92万,0.82%
688661,10383,宝盈基础产业混合A,21.75万,0.24%
688661,15071,鑫元专精特新混合A,11.12万,0.12%
688661,11170,宝盈智慧生活混合A,8.75万,0.10%
688661,213007,宝盈增强收益债券A/B,7.42万,0.08%
688661,17075,宝盈半导体产业混合发起式A,6.56万,0.07%
688661,487016,工银灵活配置混合A,5.54万,0.06%
300563,11093,永赢宏泽一年定开混合,18.94万,0.11%
300563,6195,国金量化多因子A,8.33万,0.05%
300563,6836,永赢惠泽一年,4.71万,0.03%
600178,1731,广发百发大数据价值混合A,202.23万,0.43%
600823,512200,南方中证全指房地产ETF,592.80万,0.16%
600823,5994,国投瑞银中证500指数量化增强A,132.15万,0.04%
